"call","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","taxID","db","CO1","m18s","m12s","m16s"
"Balaenoptera musculus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Cetacea","Balaenopteridae",NA,"Balaenoptera","Balaenoptera musculus","180528","itis",TRUE,FALSE,TRUE,FALSE
"Balaenoptera physalus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Cetacea","Balaenopteridae",NA,"Balaenoptera","Balaenoptera physalus","180527","itis",FALSE,FALSE,TRUE,FALSE
"Balanidae","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Thoracica","Sessilia","Balanidae",NA,NA,NA,"89599","itis",TRUE,FALSE,FALSE,FALSE
"Balanus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Thoracica","Sessilia","Balanidae",NA,"Balanus",NA,"89600","itis",TRUE,FALSE,FALSE,FALSE
"Balanus crenatus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Thoracica","Sessilia","Balanidae",NA,"Balanus","Balanus crenatus","89606","itis",TRUE,FALSE,FALSE,FALSE
"Bathycalanus princeps","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Megacalanidae",NA,"Bathycalanus","Bathycalanus princeps","205900","itis",FALSE,TRUE,FALSE,FALSE
"Bathypolypus arcticus","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Cephalopoda","Octobrachia","Octopoda","Octopodidae","Bathypolypodinae","Bathypolypus","Bathypolypus arcticus","82636","itis",TRUE,FALSE,FALSE,FALSE
"Benthosema glaciale","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Scopelomorpha","Myctophiformes","Myctophidae","Myctophinae","Benthosema","Benthosema glaciale","162680","itis",TRUE,FALSE,FALSE,TRUE
"Bos taurus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Artiodactyla","Bovidae","Bovinae","Bos","Bos taurus","183838","itis",TRUE,FALSE,FALSE,FALSE
"Bougainvillia muscus","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Anthoathecatae","Bougainvilliidae",NA,"Bougainvillia","Bougainvillia muscus","48800","itis",TRUE,FALSE,FALSE,FALSE
"Brada villosa","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Flabelligeridae",NA,"Brada","Brada villosa","67227","itis",TRUE,FALSE,FALSE,FALSE
"Brisaster fragilis","Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Echinoidea","Atelostomata","Spatangoida","Schizasteridae",NA,"Brisaster","Brisaster fragilis","158080","itis",TRUE,FALSE,FALSE,FALSE
"Brosme brosme","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Lotinae","Brosme","Brosme brosme","164740","itis",TRUE,FALSE,TRUE,TRUE
"Calanus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Calanidae",NA,"Calanus",NA,"85263","itis",TRUE,FALSE,FALSE,FALSE
"Calanus finmarchicus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Calanidae",NA,"Calanus","Calanus finmarchicus","85272","itis",TRUE,FALSE,FALSE,FALSE
"Calanus hyperboreus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Calanidae",NA,"Calanus","Calanus hyperboreus","85266","itis",TRUE,FALSE,FALSE,FALSE
"Cancer borealis","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Cancridae",NA,"Cancer","Cancer borealis","98678","itis",TRUE,FALSE,FALSE,FALSE
"Canis lupus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Carnivora","Canidae",NA,"Canis","Canis lupus","180596","itis",TRUE,FALSE,FALSE,FALSE
"Caridion gordoni","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Decapoda","Hippolytidae",NA,"Caridion","Caridion gordoni","96886","itis",TRUE,FALSE,FALSE,FALSE
"Catablema multicirratum","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Anthoathecatae","Pandeidae",NA,"Catablema","Catablema multicirratum","49175","itis",TRUE,FALSE,FALSE,FALSE
"Catablema vesicarium","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Anthoathecatae","Pandeidae",NA,"Catablema","Catablema vesicarium","49173","itis",TRUE,FALSE,FALSE,FALSE
